x,y,Amplitude (m)
-77.09440292,38.90650875,634.7850454
-77.09622536,38.90769962,634.7850454
-77.10945249,38.92211185,643.4568734
-77.11111913,38.92323862,138.6930314
-77.11527756,38.92755847,101.1943328
-77.12125407,38.93542396,248.0076016
-77.12277482,38.93674782,106.9885388
-77.12621775,38.93938817,2505.638984
-77.17467755,38.96739925,2446.067199
-77.17919076,38.96779256,134.7328224
-77.18128333,38.96828504,383.6788516
-77.19026916,38.96774725,1755.367231
-77.23079231,38.9791878,2051.938739
-77.23444987,38.97619856,66.3316918
-77.23929916,38.97990415,152.8434732
-77.24140243,38.98071171,0.204828801
-77.24350938,38.98126843,26911.52261
-77.72911476,39.3209618,26789.49029
-77.73341417,39.31967811,113.5502962
-77.73567351,39.31961857,0.060669401
-77.73793394,39.31958726,0.276073599
-77.74019933,39.31968321,1.3196986
-77.74244101,39.31917222,9.9792814
-77.7445034,39.31852591,163.8168422
-77.74950896,39.31485102,200.590291
-77.75091067,39.31333143,179.1840116
-77.75553164,39.30933026,188.9484454
-77.75675792,39.30777872,218.5834992
-77.76191132,39.30553942,1156.311453
-77.78783927,39.28099366,1469.769092
-77.78736102,39.2792484,75.4421206
-77.78552736,39.27618428,31.4579188
-77.78425888,39.27459306,108.364454
-77.7810435,39.26656203,111.3099812
-77.77982794,39.26307763,66.026675
-77.77979863,39.26145675,142.2831014
-77.78232561,39.25883785,15.017068
-77.78458279,39.25877485,335.15669
-77.79286147,39.26152233,10.338845
-77.8013259,39.26018917,273.6156544
-77.80487449,39.25763889,279.7744334
-77.81344957,39.25532383,415.3538444
-77.81456231,39.24954031,136.6831488
-77.81321937,39.24811877,81.1394782
-77.81041866,39.2451811,112.0864382
-77.80963172,39.24357852,7.6899856
-77.80898294,39.24183747,3.523278
-77.80839746,39.24023001,13.3656358
-77.80757185,39.23849322,23.1846164
-77.80716278,39.23512478,61.7542134
-77.8078632,39.23335117,51.8728936
-77.80949558,39.2300686,1275.05928
-77.83403596,39.2307619,1143.781274
-77.83802691,39.23063042,133.1465124
-77.83962572,39.22920227,35.803295
-77.84058128,39.2255304,302.7197118
-77.83609811,39.22156776,131.7967574
-77.83398283,39.22080849,9.678717399
-77.83204144,39.22005216,147.7127344
-77.82744621,39.21612072,254.2448612
-77.8274188,39.21098637,1242.218767
-77.84970937,39.19747017,1438.883915
-77.84614863,39.19513391,80.4131152
-77.84403261,39.19433879,86.7004688
-77.84035891,39.19229339,179.0148052
-77.83990143,39.18892625,73.2435506
-77.84075986,39.18741885,152.1488364
-77.84435183,39.18503391,85.5238164
-77.84640726,39.18433504,917.3257808
-77.86494357,39.14366508,899.2496392
-77.86732376,39.1407417,37.9857236
-77.86902149,39.13941883,28.0543098
-77.87021519,39.13804891,92.0026404
-77.87306183,39.13534093,54.8679582
-77.8749227,39.13416711,104.8194686
-77.87866678,39.13237196,943.5744802
-77.89936333,39.10989512,886.4027546
-77.90413457,39.1061277,66.5231622
-77.91010098,39.10360047,2546.722743
-77.96182238,39.09933752,2646.57901
-77.96599475,39.10061548,106.5477116
-77.96825286,39.10070081,118.0231338
-77.9726314,39.09979639,212.2377026
-77.97319683,39.09316958,113.126167
-77.97172981,39.08983955,23.6287832
-77.96983827,39.08889503,146.305093
-77.96531818,39.08861379,21.882729
-77.96119124,39.08943946,104.9847788
-77.95895048,39.08976022,118.489008
-77.95458092,39.08893164,247.6318966
-77.95466037,39.08269557,237.2462972
