x,y,Mean Curvature
-77.09440292,38.90650875,0
-77.09622536,38.90769962,0
-77.10945249,38.92211185,0
-77.11111913,38.92323862,0
-77.11527756,38.92755847,29.98426155
-77.12125407,38.93542396,59.97572232
-77.12277482,38.93674782,29.99146078
-77.12621775,38.93938817,29.90350838
-77.17467755,38.96739925,29.90350838
-77.17919076,38.96779256,0
-77.18128333,38.96828504,0
-77.19026916,38.96774725,29.98139694
-77.23079231,38.9791878,59.96477306
-77.23444987,38.97619856,59.89616115
-77.23929916,38.97990415,59.89616115
-77.24140243,38.98071171,59.76482103
-77.24350938,38.98126843,59.77665451
-77.72911476,39.3209618,89.73749663
-77.73341417,39.31967811,89.82534627
-77.73567351,39.31961857,59.93876789
-77.73793394,39.31958726,59.99833588
-77.74019933,39.31968321,59.99127829
-77.74244101,39.31917222,89.98342578
-77.7445034,39.31852591,89.92827573
-77.74950896,39.31485102,89.91661479
-77.75091067,39.31333143,59.96640622
-77.75553164,39.30933026,89.75039442
-77.75675792,39.30777872,59.94994475
-77.76191132,39.30553942,0
-77.78783927,39.28099366,29.99889886
-77.78736102,39.2792484,29.99889886
-77.78552736,39.27618428,0
-77.78425888,39.27459306,0
-77.7810435,39.26656203,29.96242266
-77.77982794,39.26307763,59.91263628
-77.77979863,39.26145675,29.95021362
-77.78232561,39.25883785,0
-77.78458279,39.25877485,29.77289229
-77.79286147,39.26152233,89.90726045
-77.8013259,39.26018917,0
-77.80487449,39.25763889,29.73017027
-77.81344957,39.25532383,89.89454592
-77.81456231,39.24954031,0
-77.81321937,39.24811877,29.60248442
-77.81041866,39.2451811,59.59562563
-77.80963172,39.24357852,59.76094985
-77.80898294,39.24183747,59.69776547
-77.80839746,39.24023001,59.69776547
-77.80757185,39.23849322,59.92288492
-77.80716278,39.23512478,59.98636763
-77.8078632,39.23335117,29.99343954
-77.80949558,39.2300686,0
-77.83403596,39.2307619,29.97199801
-77.83802691,39.23063042,59.95960266
-77.83962572,39.22920227,29.98760466
-77.84058128,39.2255304,0
-77.83609811,39.22156776,29.98483516
-77.83398283,39.22080849,29.98483516
-77.83204144,39.22005216,59.6424917
-77.82744621,39.21612072,59.86657673
-77.8274188,39.21098637,0
-77.84970937,39.19747017,29.97584886
-77.84614863,39.19513391,59.9540167
-77.84403261,39.19433879,29.97816783
-77.84035891,39.19229339,0
-77.83990143,39.18892625,29.99050224
-77.84075986,39.18741885,29.99050224
-77.84435183,39.18503391,0
-77.84640726,39.18433504,0
-77.86494357,39.14366508,29.97826036
-77.86732376,39.1407417,59.94720841
-77.86902149,39.13941883,29.96894805
-77.87021519,39.13804891,29.99286458
-77.87306183,39.13534093,59.79451765
-77.8749227,39.13416711,29.80165307
-77.87866678,39.13237196,0
-77.89936333,39.10989512,29.98500757
-77.90413457,39.1061277,59.94897003
-77.91010098,39.10360047,0
-77.96182238,39.09933752,29.73240847
-77.96599475,39.10061548,59.53493229
-77.96825286,39.10070081,29.80252383
-77.9726314,39.09979639,0
-77.97319683,39.09316958,29.93192518
-77.97172981,39.08983955,59.91621447
-77.96983827,39.08889503,29.98428929
-77.96531818,39.08861379,29.99890879
-77.96119124,39.08943946,59.97993024
-77.95895048,39.08976022,29.98102146
-77.95458092,39.08893164,0
-77.95466037,39.08269557,29.99108056
-77.95900224,39.07855847,89.96958854
-77.96741772,39.07665722,0
-77.97385764,39.07726133,29.87828201
-77.97613933,39.07792506,29.87828201
-77.97841148,39.07836118,59.87360417
-77.98498749,39.07807577,59.96897012
-77.99176607,39.07848232,0
-77.99869429,39.07832736,29.99216041
