x,y,Meander length (m)
-94.5456282,36.10571647,660.0179002
-94.4757525,33.9393588,2290.76727
-94.46849669,33.6385106,2546.236043
-94.46639728,33.63869012,2546.236043
-94.4638227,33.94339697,1622.607243
-94.46093688,33.93878704,1488.975237
-94.4573305,33.93450119,1533.232238
-94.45568551,33.93320043,1533.232238
-94.45478222,33.63273998,1997.77481
-94.45366627,33.6311298,1997.77481
-94.45232911,33.62789892,1997.77481
-94.45114919,33.62439562,2335.323397
-94.45090262,33.62263993,2335.323397
-94.4506002,33.61736775,2335.323397
-94.45057291,33.62088523,2335.323397
-94.45028255,33.93039109,1162.878154
-94.44927217,33.60859042,1500.008129
-94.44859158,33.60683981,1500.008129
-94.44798322,33.60332977,1500.008129
-94.44775988,33.6015738,2096.573145
-94.44700531,33.92851785,678.2593417
-94.44581852,33.59632075,2196.000647
-94.44506983,33.92921693,449.7298827
-94.44456973,33.5948473,2196.000647
-94.4435494,33.59337118,1722.882032
-94.44102772,33.93009396,1185.681116
-94.43891959,33.93018174,1185.681116
-94.43681933,33.93073833,1462.069519
-94.43472086,33.93140307,1738.457922
-94.4329177,35.3851176,4008.449779
-94.4326067,33.59242776,3159.188984
-94.43242393,35.37836151,924.9999881
-94.43181114,35.3836431,4008.449779
-94.4313202,35.37134215,1207.610293
-94.4308832,35.36796635,1808.020632
-94.43077431,35.36972575,1722.247727
-94.43066571,33.93151339,1738.457922
-94.42950927,35.3959771,4008.449779
-94.42870662,33.9308111,1738.457922
-94.42797025,35.39924104,1335.306378
-94.42751733,35.40790167,900.4552561
-94.42743214,35.41493507,2292.953723
-94.42739641,35.4131774,2292.953723
-94.42726865,35.41128557,1477.970155
-94.4272172,35.4008728,1335.306378
-94.42717446,35.41656098,2292.953723
-94.42679868,33.59457331,3159.188984
-94.4263587,35.42901254,2536.80136
-94.42633651,35.42373852,2536.80136
-94.42617821,35.40440128,1035.346368
-94.42392228,35.43215178,2536.80136
-94.42131971,33.59281691,3159.188984
-94.42099366,33.58213381,1852.582482
-94.42082729,33.58578819,2039.240553
-94.41676687,35.43859216,2318.934198
-94.41613448,33.92618043,786.4423313
-94.41546898,35.440095,2318.934198
-94.41502608,33.57299563,1852.582482
-94.41402111,33.92594706,786.4423313
-94.41192294,33.92663461,505.443656
-94.41048449,35.44348021,1221.729704
-94.41013042,33.9261772,567.0700032
-94.40637377,35.44467576,1221.729704
-94.40621252,33.92475336,813.5753919
-94.40424893,33.92375545,972.3158094
-94.39993396,35.44499147,1000.866091
-94.39854915,33.92250369,568.4556379
-94.39496956,33.91858539,966.7039841
-94.39361695,33.55814031,3300.629004
-94.38992468,33.55964103,2555.83855
-94.38956969,33.89646205,840.9902742
-94.38928246,33.89808854,1049.149731
-94.38872634,33.57965934,1983.939399
-94.38785618,33.58305104,1983.939399
-94.38762474,33.91925197,1344.387898
-94.38704869,35.4453025,1244.422717
-94.38644283,33.58441966,1983.939399
-94.38584383,33.90813732,960.4079355
-94.38521466,35.44436247,1244.422717
-94.38484724,33.58571455,1983.939399
-94.38430335,33.89446909,1194.575819
-94.38406074,33.91492091,895.6857251
-94.38338241,35.44352336,1572.972737
-94.38292193,33.58660804,1983.939399
-94.38147218,33.56561754,1811.048096
-94.38034257,33.54641678,1137.798234
-94.37953921,35.44105191,1572.972737
-94.37888039,33.56827084,893.4581408
-94.37795514,33.89310253,556.3498763
-94.37662866,33.58726185,1919.743487
-94.37631484,33.54712385,1686.366798
-94.37452455,35.43770109,1766.277848
-94.37422074,33.547513,1686.366798
-94.37383461,33.57414391,1409.756413
-94.37241022,33.58625355,1919.743487
-94.37069122,35.4357792,1766.277848
-94.37046271,33.58575206,1919.743487
-94.3704013,33.87719383,634.4000987
-94.37003276,33.54830925,4733.780253
-94.36870056,35.43532394,1766.277848
-94.36828924,33.87695964,503.4864564
-94.36736913,33.88027951,1283.136182
-94.36671536,33.58385994,1337.435609
-94.36634373,33.87699927,487.979808
-94.36621347,33.88917517,691.2209952
-94.36544297,33.88085999,694.7685051
-94.36398174,33.88212068,484.2368851
-94.36320125,35.4325822,1965.238191
-94.36229738,33.88771251,879.0817786
-94.36197563,33.87767375,1248.519866
-94.36152914,35.43141096,1965.238191
-94.36076433,33.88636772,879.0817786
-94.35775186,33.87722565,1248.519866
-94.35686596,35.42792019,1758.657344
-94.35564438,33.87727978,1248.519866
-94.35382735,35.42538474,1117.054049
-94.35341462,33.56081401,4733.780253
-94.35144465,33.87835399,2110.718617
-94.35047832,35.42271746,1899.65593
-94.34985415,33.56723805,1512.230746
-94.34900211,35.42138156,1899.65593
-94.34744407,35.38109737,3515.28277
-94.34678274,35.37934661,3515.28277
-94.34585324,35.37773408,3515.28277
-94.34530504,33.87983703,2110.718617
-94.34442171,35.3896512,3515.28277
-94.34419246,35.37450679,3515.28277
-94.34308665,33.57142415,1512.230746
-94.34206513,35.39441082,1687.951075
-94.34143797,33.88145737,2110.718617
-94.34071342,35.4110604,2727.934633
-94.33976164,35.40944808,2727.934633
-94.33939185,33.57285563,1512.230746
-94.33900808,35.40783355,2727.934633
-94.33844893,35.40608163,2727.934633
-94.33825322,35.40080942,2034.612261
-94.33703721,33.86620137,1956.994078
-94.33564456,33.87395948,1319.704558
-94.33435654,33.86136061,1956.994078
-94.33426924,33.87867645,1246.670059
-94.3339917,33.87543292,1339.956817
-94.33345483,33.877062,1339.956817
-94.33163039,33.57257607,1607.822789
-94.33044138,33.56068431,1381.714445
-94.33036511,33.55540924,1789.367081
-94.33026824,33.55892754,1789.367081
-94.33013179,33.57110412,1607.822789
-94.33007063,33.56420555,781.3415789
-94.32986992,33.56948359,1607.822789
-94.32975137,33.56596761,1607.822789
-94.32532383,33.86178814,1139.181181
