x,y,Wavelength (m)
-94.5456282,36.10571647,274649.3579
-94.4757525,33.9393588,274649.3579
-94.46849669,33.6385106,33470.4376
-94.46639728,33.63869012,33939.95065
-94.4638227,33.94339697,33406.78926
-94.46093688,33.93878704,990.2779088
-94.4573305,33.93450119,621.9012399
-94.45568551,33.93320043,33592.05851
-94.45478222,33.63273998,33626.50233
-94.45366627,33.6311298,538.906751
-94.45232911,33.62789892,749.6495337
-94.45114919,33.62439562,585.4300449
-94.45090262,33.62263993,782.3425819
-94.4506002,33.61736775,195.3342629
-94.45057291,33.62088523,34845.75852
-94.45028255,33.93039109,1368.658122
-94.44927217,33.60859042,36017.72885
-94.44859158,33.60683981,585.6156536
-94.44798322,33.60332977,586.2124243
-94.44775988,33.6015738,36199.93766
-94.44700531,33.92851785,584.7694023
-94.44581852,33.59632075,77.82127398
-94.44506983,33.92921693,164.0240691
-94.44456973,33.5948473,37386.34913
-94.4435494,33.59337118,37319.65767
-94.44102772,33.93009396,37493.75186
-94.43891959,33.93018174,71.73122854
-94.43681933,33.93073833,135.9589228
-94.43472086,33.93140307,161901.5011
-94.4329177,35.3851176,37734.73143
-94.4326067,33.59242776,752.0884751
-94.43242393,35.37836151,199398.0908
-94.43181114,35.3836431,781.3948165
-94.4313202,35.37134215,1745.135897
-94.4308832,35.36796635,179.9382572
-94.43077431,35.36972575,159905.9432
-94.43066571,33.93151339,2922.300774
-94.42950927,35.3959771,78.17917627
-94.42870662,33.9308111,363.341309
-94.42797025,35.39924104,164429.7222
-94.42751733,35.40790167,1747.06046
-94.42743214,35.41493507,587.2944406
-94.42739641,35.4131774,406.2630546
-94.42726865,35.41128557,1369.747447
-94.4272172,35.4008728,587.2590007
-94.42717446,35.41656098,201077.2596
-94.42679868,33.59457331,1386.107836
-94.4263587,35.42901254,203622.6708
-94.42633651,35.42373852,2739.725552
-94.42617821,35.40440128,936.5647332
-94.42392228,35.43215178,201665.5722
-94.42131971,33.59281691,205944.0009
-94.42099366,33.58213381,782.4375886
-94.42082729,33.58578819,206660.9437
-94.41676687,35.43859216,37892.46432
-94.41613448,33.92618043,167.2967477
-94.41546898,35.440095,39316.53143
-94.41502608,33.57299563,168554.949
-94.41402111,33.92594706,39367.09046
-94.41192294,33.92663461,168931.7897
-94.41048449,35.44348021,50.91893475
-94.41013042,33.9261772,133.089097
-94.40637377,35.44467576,158.5015616
-94.40621252,33.92475336,169308.8492
-94.40424893,33.92375545,169232.9066
-94.39993396,35.44499147,139.3456296
-94.39854915,33.92250369,169919.5253
-94.39496956,33.91858539,40560.93128
-94.39361695,33.55814031,39957.68611
-94.38992468,33.55964103,37661.97555
-94.38956969,33.89646205,37675.97699
-94.38928246,33.89808854,35266.47692
-94.38872634,33.57965934,35069.97394
-94.38785618,33.58305104,37803.45087
-94.38762474,33.91925197,207305.8328
-94.38704869,35.4453025,37273.53222
-94.38644283,33.58441966,171117.2287
-94.38584383,33.90813732,207048.8334
-94.38521466,35.44436247,35892.10254
-94.38484724,33.58571455,172534.1313
-94.38430335,33.89446909,36647.25166
-94.38406074,33.91492091,172440.722
-94.38338241,35.44352336,36547.78796
-94.38292193,33.58660804,209048.476
-94.38147218,33.56561754,4474.091243
-94.38034257,33.54641678,208773.3532
-94.37953921,35.44105191,2432.79355
-94.37888039,33.56827084,172317.7249
-94.37795514,33.89310253,2114.079703
-94.37662866,33.58726185,38514.34674
-94.37631484,33.54712385,205990.8956
-94.37452455,35.43770109,43.32119462
-94.37422074,33.547513,207451.1853
-94.37383461,33.57414391,4312.597618
-94.37241022,33.58625355,207237.2405
-94.37069122,35.4357792,55.82554998
-94.37046271,33.58575206,173501.7231
-94.3704013,33.87719383,4168.133736
-94.37003276,33.54830925,173451.0437
-94.36870056,35.43532394,36585.36139
-94.36828924,33.87695964,173107.5462
-94.36736913,33.88027951,32627.85851
-94.36671536,33.58385994,365.1560488
-94.36634373,33.87699927,33987.69062
-94.36621347,33.88917517,429.7756837
-94.36544297,33.88085999,785.3055123
-94.36398174,33.88212068,172737.7162
-94.36320125,35.4325822,622.4826935
-94.36229738,33.88771251,173092.4089
-94.36197563,33.87767375,171844.5117
-94.36152914,35.43141096,967.8130575
-94.36076433,33.88636772,173011.9085
-94.35775186,33.87722565,171605.6206
-94.35686596,35.42792019,6.025272625
-94.35564438,33.87727978,282.2453542
-94.35382735,35.42538474,35228.96906
-94.35341462,33.56081401,172215.4641
-94.35144465,33.87835399,207267.0911
-94.35047832,35.42271746,34633.42605
-94.34985415,33.56723805,148.7119577
-94.34900211,35.42138156,201918.8192
-94.34744407,35.38109737,4679.33044
-94.34678274,35.37934661,374.4008403
-94.34585324,35.37773408,166925.4071
-94.34530504,33.87983703,1326.613562
-94.34442171,35.3896512,166386.6383
-94.34419246,35.37450679,202405.0354
-94.34308665,33.57142415,2215.716747
-94.34206513,35.39441082,34512.89797
-94.34143797,33.88145737,1853.430424
-94.34071342,35.4110604,170095.9258
-94.33976164,35.40944808,204628.9545
-94.33939185,33.57285563,179.7289219
-94.33900808,35.40783355,204074.7179
-94.33844893,35.40608163,781.9262138
-94.33825322,35.40080942,171419.4698
-94.33703721,33.86620137,169968.9354
-94.33564456,33.87395948,538.8739141
-94.33435654,33.86136061,525.0935245
-94.33426924,33.87867645,1566.529537
-94.3339917,33.87543292,179.7208128
-94.33345483,33.877062,33714.0243
-94.33163039,33.57257607,35219.16514
-94.33044138,33.56068431,1911.012048
-94.33036511,33.55540924,195.5635206
-94.33026824,33.55892754,1747.154466
-94.33013179,33.57110412,587.5481257
-94.33007063,33.56420555,180.3977737
-94.32986992,33.56948359,196.1523825
-94.32975137,33.56596761,32539.34342
-94.32532383,33.86178814,32314.02856
-94.32496399,33.85624814,167110.3979
-94.32438733,35.36295952,361.9371307
-94.32396876,33.85299681,168059.6665
-94.32170295,33.85326076,1045.032455
-94.32135708,33.86238446,58.00630122
-94.31960321,33.85378184,103.1883875
-94.31949429,33.8614575,167704.0043
-94.3187305,35.36028565,749.3472939
-94.31783422,33.85472603,59.18182254
-94.31657565,35.35975401,270.9849971
-94.31050085,33.85229174,496.2295803
-94.30478239,35.35529632,1529.88795
-94.30448757,33.83854859,167183.7348
-94.30435764,33.85346615,391.3104474
-94.30430448,33.83503341,1855.99821
-94.30415831,33.83679351,29168.81342
-94.3038942,33.57300669,1565.308164
-94.30348016,33.82273218,198274.4059
-94.30327786,35.35412784,175.4537164
-94.30242977,33.82115605,130.0780125
-94.30177338,35.35295933,2994.434655
-94.30092635,33.8480554,197368.7558
-94.30038942,33.57997375,167413.0805
-94.29994127,35.35194581,27813.60702
-94.29962201,33.82982649,220.8556499
-94.29578267,35.34996184,476.2844613
-94.29558083,33.82554797,169504.4057
-94.29507292,33.82728482,358.2176498
-94.29432212,33.82233006,467.9024396
-94.2923885,33.8230816,29109.94155
-94.29092432,33.5608322,169554.717
-94.29044067,35.34621057,151.9352808
-94.28976826,33.56219705,101.6018042
-94.28877552,35.34529787,147.3470235
-94.28823882,33.56352069,198067.6329
-94.28502914,33.56603419,2080.57234
-94.28183594,33.5822107,29255.80961
-94.28064267,33.82884239,1468.32365
-94.27986334,33.56902059,79.84725125
-94.278849,33.82812512,116.2778005
-94.27810111,33.57006512,508.0778983
-94.27597166,33.823561,1500.975752
-94.27555219,33.58354856,27981.3779
-94.27473882,33.57220115,195990.6771
-94.2720862,35.34415471,714.8402067
-94.27121294,33.57862264,72.56476547
-94.27011566,35.34480657,26702.82786
-94.26854926,33.81849713,192.8182348
-94.26658395,35.34653868,256.5786038
-94.26554402,33.81619225,197173.1866
-94.264452,33.57530991,26618.31226
-94.26362658,33.57707698,393.3718645
-94.26284423,33.57884361,26835.85619
-94.26211748,33.81814648,197360.917
-94.26057302,35.35175878,167.7867985
-94.25711232,33.81663923,196751.6606
-94.25544044,33.58431663,25713.49391
-94.2540428,33.58565204,25998.86108
-94.25341349,33.8178673,197004.0803
-94.25311217,35.35536171,16.05264376
-94.25162863,33.8177231,26.98933701
-94.25096982,35.35560416,28325.38998
-94.25084285,33.56327296,196799.8869
-94.25023665,33.58772878,27800.3345
-94.24985289,33.81300647,25274.06838
-94.24950654,33.81476856,24963.48678
-94.24847344,33.58875668,25063.28876
-94.24670785,33.58962224,24672.411
-94.2458499,33.8103917,24492.50398
-94.24393326,33.80964114,26840.05982
-94.24318335,33.56928444,24376.69901
-94.24268174,33.59066252,77.45295998
-94.24125407,33.56998021,2177.905746
-94.2394924,33.57109815,26393.79039
-94.23850965,33.80707858,26115.23929
-94.23716092,33.80569427,24174.58492
-94.23652864,33.58991558,25491.777
-94.23407746,33.57669879,1289.900696
-94.23346495,33.57832826,25011.78327
-94.23113584,33.80138243,197622.3784
-94.22964332,35.35359217,716.0714907
-94.22799775,33.80781498,60.98084472
