x,y,Width (m)
-94.5456282,36.10571647,42
-94.4757525,33.9393588,63
-94.46849669,33.6385106,380
-94.46639728,33.63869012,240
-94.4638227,33.94339697,69
-94.46093688,33.93878704,67
-94.4573305,33.93450119,84
-94.45568551,33.93320043,63
-94.45478222,33.63273998,171
-94.45366627,33.6311298,151
-94.45232911,33.62789892,243
-94.45114919,33.62439562,424.5
-94.45090262,33.62263993,474
-94.4506002,33.61736775,337.5
-94.45057291,33.62088523,403.5
-94.45028255,33.93039109,84
-94.44927217,33.60859042,203
-94.44859158,33.60683981,249
-94.44798322,33.60332977,155.5
-94.44775988,33.6015738,128
-94.44700531,33.92851785,89
-94.44581852,33.59632075,152
-94.44506983,33.92921693,63
-94.44456973,33.5948473,84
-94.4435494,33.59337118,150.5
-94.44102772,33.93009396,60
-94.43891959,33.93018174,61.5
-94.43681933,33.93073833,54
-94.43472086,33.93140307,78.5
-94.4329177,35.3851176,67
-94.4326067,33.59242776,190
-94.43242393,35.37836151,131
-94.43181114,35.3836431,152
-94.4313202,35.37134215,65
-94.4308832,35.36796635,80
-94.43077431,35.36972575,91
-94.43066571,33.93151339,54
-94.42950927,35.3959771,337
-94.42870662,33.9308111,63
-94.42797025,35.39924104,380
-94.42751733,35.40790167,497
-94.42743214,35.41493507,830
-94.42739641,35.4131774,720
-94.42726865,35.41128557,525
-94.4272172,35.4008728,403
-94.42717446,35.41656098,713.5
-94.42679868,33.59457331,159
-94.4263587,35.42901254,568.5
-94.42633651,35.42373852,808
-94.42617821,35.40440128,682.5
-94.42392228,35.43215178,699
-94.42131971,33.59281691,138
-94.42099366,33.58213381,180
-94.42082729,33.58578819,168
-94.41676687,35.43859216,703
-94.41613448,33.92618043,54
-94.41546898,35.440095,699
-94.41502608,33.57299563,108
-94.41402111,33.92594706,77
-94.41192294,33.92663461,58.5
-94.41048449,35.44348021,1001.5
-94.41013042,33.9261772,96
-94.40637377,35.44467576,1073
-94.40621252,33.92475336,48
-94.40424893,33.92375545,84
-94.39993396,35.44499147,614.5
-94.39854915,33.92250369,75.5
-94.39496956,33.91858539,55.5
-94.39361695,33.55814031,151.5
-94.38992468,33.55964103,159
-94.38956969,33.89646205,60
-94.38928246,33.89808854,84.5
-94.38872634,33.57965934,155.5
-94.38785618,33.58305104,108
-94.38762474,33.91925197,45
-94.38704869,35.4453025,750
-94.38644283,33.58441966,84
-94.38584383,33.90813732,60.5
-94.38521466,35.44436247,774
-94.38484724,33.58571455,84
-94.38430335,33.89446909,60
-94.38406074,33.91492091,58.5
-94.38338241,35.44352336,649
-94.38292193,33.58660804,94
-94.38147218,33.56561754,190
-94.38034257,33.54641678,189
-94.37953921,35.44105191,699
-94.37888039,33.56827084,151.5
-94.37795514,33.89310253,84
-94.37662866,33.58726185,101
-94.37631484,33.54712385,142
-94.37452455,35.43770109,601
-94.37422074,33.547513,161
-94.37383461,33.57414391,127
-94.37241022,33.58625355,130.5
-94.37069122,35.4357792,582.5
-94.37046271,33.58575206,155.5
-94.3704013,33.87719383,30
-94.37003276,33.54830925,152
-94.36870056,35.43532394,590
-94.36828924,33.87695964,63
-94.36736913,33.88027951,80.5
-94.36671536,33.58385994,169
-94.36634373,33.87699927,48
-94.36621347,33.88917517,63
-94.36544297,33.88085999,58.5
-94.36398174,33.88212068,67
-94.36320125,35.4325822,551
-94.36229738,33.88771251,73.5
-94.36197563,33.87767375,60
-94.36152914,35.43141096,572
-94.36076433,33.88636772,77
-94.35775186,33.87722565,54
-94.35686596,35.42792019,507
-94.35564438,33.87727978,48
-94.35382735,35.42538474,551
-94.35341462,33.56081401,153
-94.35144465,33.87835399,65
-94.35047832,35.42271746,593
-94.34985415,33.56723805,75
-94.34900211,35.42138156,614
-94.34744407,35.38109737,750
-94.34678274,35.37934661,620
-94.34585324,35.37773408,508.5
-94.34530504,33.87983703,60.5
-94.34442171,35.3896512,1052
-94.34419246,35.37450679,435
-94.34308665,33.57142415,132.5
-94.34206513,35.39441082,1187
-94.34143797,33.88145737,60
-94.34071342,35.4110604,819
-94.33976164,35.40944808,809
-94.33939185,33.57285563,129
-94.33900808,35.40783355,731.5
-94.33844893,35.40608163,681
-94.33825322,35.40080942,588
-94.33703721,33.86620137,82
-94.33564456,33.87395948,84
-94.33435654,33.86136061,82
-94.33426924,33.87867645,67
-94.3339917,33.87543292,79.5
-94.33345483,33.877062,63
-94.33163039,33.57257607,127
-94.33044138,33.56068431,214
-94.33036511,33.55540924,93
-94.33026824,33.55892754,166.5
-94.33013179,33.57110412,84
-94.33007063,33.56420555,121
-94.32986992,33.56948359,92
-94.32975137,33.56596761,108
-94.32532383,33.86178814,63
-94.32496399,33.85624814,63
-94.32438733,35.36295952,1081
-94.32396876,33.85299681,63
-94.32170295,33.85326076,63
-94.32135708,33.86238446,72
-94.31960321,33.85378184,75.5
-94.31949429,33.8614575,75
-94.3187305,35.36028565,1210
-94.31783422,33.85472603,84
-94.31657565,35.35975401,1219
-94.31050085,33.85229174,39
-94.30478239,35.35529632,933
-94.30448757,33.83854859,67
-94.30435764,33.85346615,54
-94.30430448,33.83503341,63
-94.30415831,33.83679351,65
-94.3038942,33.57300669,166.5
-94.30348016,33.82273218,85
-94.30327786,35.35412784,763
-94.30242977,33.82115605,63
-94.30177338,35.35295933,678
-94.30092635,33.8480554,63
-94.30038942,33.57997375,77
-94.29994127,35.35194581,617
-94.29962201,33.82982649,78
-94.29578267,35.34996184,508
-94.29558083,33.82554797,67
-94.29507292,33.82728482,63
-94.29432212,33.82233006,54
-94.2923885,33.8230816,63
-94.29092432,33.5608322,152
-94.29044067,35.34621057,453
-94.28976826,33.56219705,127
-94.28877552,35.34529787,416
-94.28823882,33.56352069,150
-94.28502914,33.56603419,190
-94.28183594,33.5822107,150.5
-94.28064267,33.82884239,73.5
-94.27986334,33.56902059,237
-94.278849,33.82812512,42
-94.27810111,33.57006512,243.5
-94.27597166,33.823561,86
-94.27555219,33.58354856,210
-94.27473882,33.57220115,127
-94.2720862,35.34415471,292
-94.27121294,33.57862264,94
-94.27011566,35.34480657,292
-94.26854926,33.81849713,65
-94.26658395,35.34653868,399
-94.26554402,33.81619225,63
-94.264452,33.57530991,139
-94.26362658,33.57707698,217
-94.26284423,33.57884361,189
-94.26211748,33.81814648,75
-94.26057302,35.35175878,332
-94.25711232,33.81663923,63
-94.25544044,33.58431663,180
-94.2540428,33.58565204,106.5
-94.25341349,33.8178673,63
-94.25311217,35.35536171,256.5
-94.25162863,33.8177231,63
-94.25096982,35.35560416,255
-94.25084285,33.56327296,164
-94.25023665,33.58772878,205.5
-94.24985289,33.81300647,72.5
-94.24950654,33.81476856,63
-94.24847344,33.58875668,216
-94.24670785,33.58962224,216
-94.2458499,33.8103917,63
-94.24393326,33.80964114,63
-94.24318335,33.56928444,174
-94.24268174,33.59066252,180
-94.24125407,33.56998021,181
-94.2394924,33.57109815,169
-94.23850965,33.80707858,63
-94.23716092,33.80569427,67
-94.23652864,33.58991558,181
-94.23407746,33.57669879,149
-94.23346495,33.57832826,155
-94.23113584,33.80138243,84
-94.22964332,35.35359217,365
-94.22799775,33.80781498,67
-94.22765405,35.35304437,467.5
-94.22714664,33.80268296,85
-94.22707358,33.55305815,128
-94.22150172,33.55590907,154
-94.22054924,33.8155069,75
-94.21973904,33.55695459,130
-94.217978,33.55811912,212
-94.21746365,35.35601463,378.5
-94.21736799,33.8071087,73.5
-94.21601165,33.80210783,54
-94.21474284,33.58371367,101
-94.21334973,35.35689966,313
-94.21285128,33.5843723,94
-94.21167248,33.56677409,108
-94.21137424,33.80419163,72
-94.21123526,33.57205434,65
-94.21099218,33.57029806,90
-94.2108461,33.80581112,67
-94.20513123,35.35931737,408
-94.20332743,35.36014139,400.5
-94.20287472,33.80822489,61.5
-94.20136074,35.36111668,412
-94.20077173,33.80848888,48
-94.1995616,35.36226159,395
-94.19866947,33.80880694,48
-94.19656882,33.80924089,67
-94.19466034,35.36577238,424
-94.19304103,35.36703262,445
-94.19253841,33.81075123,63
